"Designator",Val,Package,"Mid X","Mid Y","Rotation",Layer
"C1","10uF","C_1206_3216Metric",129.750000,-103.250000,90.000000,top
"C2","120uF","CP_Radial_D18.0mm_P7.50mm",160.745000,-111.277220,-90.000000,top
"C3","120uF","CP_Radial_D18.0mm_P7.50mm",137.245000,-111.277220,-90.000000,top
"C4","10uF","C_1206_3216Metric",129.750000,-97.500000,90.000000,top
"C5","10uF","C_1206_3216Metric",124.750000,-117.000000,90.000000,top
"C6","1uF","C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4",175.745000,-117.005000,90.000000,top
"D1","S2JTR","D_SMB",120.745000,-117.255000,90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",190.245000,-87.755000,90.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",190.245000,-123.755000,90.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",190.245000,-107.755000,90.000000,top
"J4","Conn_01x05_Male","PinHeader_1x05_P2.54mm_Vertical",112.745000,-89.635000,0.000000,top
"L1","33uH","L_Toroid_Vertical_L31.8mm_W15.9mm_P13.50mm_Bourns_5700",150.745000,-95.000000,180.000000,top
"Q1","STGP7NC60HD","TO-220-3_Vertical",151.785000,-124.310000,180.000000,top
"Q2","STGP7NC60HD","TO-220-3_Vertical",127.785000,-124.310000,180.000000,top
"R1","4.7","R_0603_1608Metric",141.245000,-125.755000,0.000000,top
"R2","4.7","R_0603_1608Metric",117.000000,-116.750000,-90.000000,top
"U1","IR2110S","SOIC-16W_7.5x10.3mm_P1.27mm",121.745000,-107.255000,90.000000,top
